"recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","cntry","pspwght"
4,2,3,2,2,3,2,3,3,"AT",0.218111366033554
4,3,3,2,2,3,1,1,5,"AT",0.413473278284073
3,4,3,3,3,2,2,2,4,"AT",2.27029275894165
1,1,4,NA,2,3,2,2,4,"AT",0.386483430862427
3,3,4,3,1,2,1,1,4,"AT",1.032102227211
3,2,4,3,3,2,2,2,3,"AT",0.575544655323029
3,3,3,3,2,2,2,2,5,"AT",0.720604360103607
4,2,3,3,3,2,3,2,4,"AT",0.130112841725349
4,4,4,4,2,2,1,1,1,"AT",1.77075970172882
3,3,3,2,2,2,2,2,2,"AT",0.742814064025879
NA,NA,NA,1,3,1,5,5,5,"AT",0.159934610128403
2,2,3,3,3,3,3,2,4,"AT",0.777760744094849
2,3,3,1,3,1,1,1,4,"AT",0.803710341453552
3,3,3,3,3,2,1,1,1,"AT",0.983047187328339
4,3,4,3,3,1,1,2,5,"AT",0.342777580022812
3,3,4,3,3,2,2,1,5,"AT",1.02026832103729
3,2,2,4,2,2,2,2,2,"AT",0.361653417348862
NA,3,1,1,1,2,2,2,4,"AT",0.551291525363922
4,4,4,NA,NA,2,1,2,3,"AT",0.116288356482983
4,4,2,2,2,2,2,2,4,"AT",1.38906753063202
4,4,1,2,1,2,2,3,4,"AT",0.401159286499023
3,2,1,3,3,3,2,2,4,"AT",0.514406800270081
3,3,3,2,2,2,NA,2,4,"AT",0.273204505443573
4,4,3,NA,2,NA,2,2,NA,"AT",0.908989250659943
4,4,4,2,3,5,1,2,2,"AT",1.3691211938858
3,4,4,1,1,4,2,1,1,"AT",1.92127001285553
3,2,2,3,2,3,2,2,4,"AT",0.583009123802185
4,4,4,4,3,3,2,1,3,"AT",0.620467901229858
2,3,4,4,3,1,2,2,4,"AT",1.38538479804993
3,2,2,1,1,5,1,2,5,"AT",3.99969601631165
3,2,3,2,2,3,3,2,2,"AT",0.775290369987488
2,2,1,1,1,3,2,2,4,"AT",0.360911399126053
4,4,4,4,4,5,1,2,1,"AT",0.816884696483612
4,4,2,1,1,3,2,1,5,"AT",2.22203183174133
3,3,3,3,3,1,1,1,5,"AT",0.341112852096558
3,3,2,2,2,2,2,2,3,"AT",0.87690395116806
4,4,2,3,3,5,1,3,4,"AT",1.09979748725891
4,3,2,2,1,3,3,1,3,"AT",0.249247536063194
3,4,2,3,2,2,1,1,4,"AT",0.419118791818619
3,3,2,1,3,3,1,1,5,"AT",1.2258335351944
4,2,4,2,2,2,1,1,4,"AT",0.367910027503967
4,4,4,2,3,3,1,1,5,"AT",0.734716713428497
4,4,1,2,1,3,2,2,4,"AT",0.185282826423645
4,4,3,3,3,4,3,2,2,"AT",1.92127001285553
3,3,2,2,2,2,2,2,4,"AT",0.360187977552414
4,3,3,2,1,3,1,1,4,"AT",0.310457080602646
4,4,2,1,1,3,2,1,2,"AT",2.36063742637634
2,3,4,1,1,2,4,4,4,"AT",1.40703022480011
4,4,3,4,2,3,2,2,2,"AT",1.60815858840942
3,3,4,1,2,3,2,3,1,"AT",0.673267304897308
4,4,4,4,4,5,4,1,NA,"AT",0.247514620423317
2,2,4,3,3,2,NA,1,5,"AT",2.44729328155518
4,4,2,2,3,4,2,2,4,"AT",1.49294102191925
4,3,4,4,2,2,3,3,3,"AT",0.303946971893311
4,4,4,3,4,1,2,2,2,"AT",1.29330825805664
3,3,3,3,3,2,3,1,5,"AT",1.46188879013062
3,NA,3,NA,NA,2,2,2,4,"AT",0.684417068958282
NA,2,4,4,3,1,2,2,5,"AT",0.266365826129913
4,4,4,3,1,2,1,1,4,"AT",0.873210787773132
2,2,2,2,2,1,2,2,2,"AT",1.14976143836975
3,3,3,2,1,2,1,1,4,"AT",0.868278741836548
4,3,NA,1,1,4,1,NA,5,"AT",0.901569247245789
3,3,3,3,3,2,1,2,2,"AT",0.398256301879883
4,4,3,3,2,2,2,1,4,"AT",0.938809871673584
3,2,3,3,2,2,2,2,4,"AT",0.47130012512207
3,4,1,1,1,2,1,3,4,"AT",1.41562187671661
3,3,3,3,3,3,4,1,5,"AT",1.30229222774506
4,3,3,2,3,3,2,2,2,"AT",0.86018168926239
4,4,4,4,4,3,3,1,5,"AT",0.536316633224487
4,2,2,4,2,3,3,2,4,"AT",0.671222388744354
4,4,3,2,2,2,2,2,3,"AT",0.811722874641418
4,4,1,1,1,4,2,3,4,"AT",0.710375726222992
3,2,NA,2,2,2,2,2,5,"AT",0.852966606616974
4,4,4,4,3,2,2,2,3,"AT",0.181628704071045
4,4,3,2,2,2,1,3,3,"AT",0.414553821086884
3,3,3,3,3,2,2,2,2,"AT",0.721822798252106
3,3,3,3,3,3,1,2,2,"AT",0.840939223766327
4,4,4,3,3,4,2,2,4,"AT",0.792766749858856
2,3,2,2,2,2,2,2,2,"AT",0.367084324359894
2,2,2,2,2,1,2,1,2,"AT",4.00019550323486
4,4,3,2,2,2,1,2,3,"AT",1.35673391819
3,3,2,2,2,1,1,1,2,"AT",0.667916059494019
3,4,4,3,1,1,1,2,3,"AT",0.628865599632263
4,4,4,3,1,3,2,2,3,"AT",0.673267304897308
3,3,4,2,2,3,2,2,5,"AT",0.358685910701752
3,4,4,NA,1,1,3,4,5,"AT",0.642731964588165
2,3,3,2,2,4,2,2,5,"AT",0.473190307617188
3,3,2,2,1,3,2,2,3,"AT",0.266365826129913
3,3,3,3,2,2,1,3,3,"AT",0.434482425451279
3,3,3,3,1,1,1,3,3,"AT",4.00019550323486
4,3,4,2,1,2,1,2,3,"AT",0.164409697055817
3,2,2,1,2,3,3,2,3,"AT",0.211794897913933
4,4,4,4,4,NA,1,1,3,"AT",1.26140904426575
3,3,4,3,2,2,2,1,5,"AT",1.6823103427887
3,3,3,2,2,2,1,1,5,"AT",0.575544655323029
4,4,3,4,3,2,2,2,3,"AT",1.00560081005096
1,3,4,4,4,4,1,1,5,"AT",1.33392119407654
3,3,3,1,4,2,1,2,4,"AT",1.83253300189972
2,3,4,4,2,3,2,2,4,"AT",0.85282951593399
4,2,3,2,2,2,2,2,5,"AT",0.267538189888
3,3,3,3,3,2,2,1,4,"AT",1.0553514957428
3,3,4,4,NA,3,2,3,5,"AT",0.418199360370636
3,3,3,1,2,3,1,NA,5,"AT",0.450383573770523
4,3,1,2,1,3,1,3,5,"AT",0.25257995724678
2,3,3,4,3,1,2,1,5,"AT",1.76072931289673
2,3,4,3,3,2,2,2,NA,"AT",0.333958029747009
4,4,2,3,3,5,2,4,4,"AT",0.833501875400543
3,3,2,2,3,2,1,2,4,"AT",0.736698627471924
3,4,1,1,1,2,1,2,5,"AT",0.473891973495483
4,2,3,4,3,5,1,2,5,"AT",0.44839271903038
2,3,2,3,3,2,1,1,1,"AT",2.1280460357666
4,4,4,4,4,2,1,4,3,"AT",0.36325740814209
3,3,4,4,4,1,2,1,5,"AT",1.52496635913849
4,3,4,4,2,1,2,2,4,"AT",1.94562172889709
4,4,4,1,1,3,1,3,2,"AT",0.964174747467041
4,4,2,1,1,4,1,2,5,"AT",0.232918798923492
3,3,2,2,2,1,2,2,2,"AT",0.84589546918869
4,3,2,NA,1,2,1,3,3,"AT",0.414553821086884
3,3,3,2,3,1,1,4,4,"AT",0.845441937446594
2,3,3,3,2,1,2,1,4,"AT",2.76673293113708
3,3,3,2,1,4,2,2,4,"AT",0.40457209944725
4,4,4,4,4,1,1,2,1,"AT",1.32791924476624
4,4,2,2,2,4,1,2,3,"AT",0.802318572998047
4,4,2,2,1,2,1,2,2,"AT",0.32696732878685
4,4,2,2,2,2,2,2,4,"AT",0.718992948532104
3,2,4,3,3,2,2,2,4,"AT",0.143856137990952
2,3,4,4,2,4,2,1,5,"AT",0.904898822307587
4,4,2,3,2,3,2,2,5,"AT",0.809919953346252
3,4,4,1,3,2,1,3,5,"AT",0.800629258155823
4,3,2,3,3,2,2,2,4,"AT",2.31887578964233
3,3,3,3,3,5,1,1,NA,"AT",0.240947276353836
4,4,2,3,1,4,1,1,5,"AT",0.372141391038895
4,4,4,4,4,1,1,1,5,"AT",0.436661601066589
3,3,4,2,1,2,1,1,4,"AT",0.652598321437836
3,3,4,2,1,5,1,2,3,"AT",4.00019550323486
3,4,3,2,2,2,1,2,5,"AT",1.1236252784729
4,3,3,3,3,5,2,1,2,"AT",1.61353838443756
4,4,2,1,2,4,2,2,4,"AT",0.461861670017242
3,3,3,3,3,2,2,NA,3,"AT",0.72651481628418
3,3,3,3,3,1,2,1,5,"AT",1.74992060661316
3,NA,1,2,1,1,3,1,4,"AT",0.324768871068954
2,3,4,4,2,3,2,2,5,"AT",0.429294675588608
3,4,2,1,1,5,1,1,5,"AT",0.424833208322525
4,4,3,3,3,2,2,2,4,"AT",0.551148951053619
2,3,3,3,2,5,2,1,5,"AT",0.855185925960541
4,4,4,NA,2,3,2,3,4,"AT",1.77373039722443
3,3,2,1,2,3,2,2,4,"AT",0.570734858512878
4,4,3,2,1,2,1,2,4,"AT",0.734090089797974
1,2,4,4,4,5,1,2,5,"AT",1.06131827831268
4,4,4,4,4,1,1,1,5,"AT",0.261867433786392
2,1,3,2,2,2,2,2,3,"AT",1.3199155330658
3,3,2,3,2,1,1,1,5,"AT",0.243435710668564
3,3,2,1,2,2,2,2,4,"AT",0.805060267448425
3,3,2,1,1,2,1,2,2,"AT",0.754241585731506
2,2,3,4,3,3,3,4,4,"AT",0.771895527839661
4,4,3,2,2,5,2,4,2,"AT",2.42169618606567
4,3,3,2,2,3,1,1,5,"AT",0.325263381004333
3,2,1,1,1,3,2,2,3,"AT",0.151876106858253
3,3,2,2,2,4,1,2,1,"AT",2.8372540473938
3,3,2,2,2,1,2,2,2,"AT",0.479955673217773
3,3,2,4,4,3,2,2,3,"AT",0.536316633224487
4,4,2,1,1,2,2,2,1,"AT",1.50445437431335
4,2,1,1,1,1,1,1,4,"AT",0.347334355115891
4,4,3,3,3,3,2,1,4,"AT",0.665768384933472
3,3,3,2,3,1,1,1,3,"AT",0.461311489343643
3,2,3,3,2,3,1,2,3,"AT",0.27557447552681
2,2,4,4,4,2,3,1,5,"AT",2.01648926734924
3,4,1,3,1,2,1,2,4,"AT",0.562992334365845
2,2,2,2,2,2,2,1,3,"AT",1.14981698989868
3,3,2,2,3,5,1,1,5,"AT",4.00019550323486
4,4,2,2,4,1,1,1,4,"AT",0.476645171642303
3,3,2,2,2,3,1,2,4,"AT",2.02358484268188
4,4,3,3,3,3,3,3,3,"AT",1.74702501296997
4,4,2,2,2,2,1,2,4,"AT",0.338480979204178
3,3,3,3,NA,4,3,2,4,"AT",1.53057658672333
3,3,2,2,2,2,2,2,2,"AT",1.58792018890381
2,2,4,2,2,3,2,2,3,"AT",0.589955151081085
4,4,3,2,3,2,1,1,4,"AT",0.624903380870819
4,4,2,2,4,4,2,4,3,"AT",1.92127001285553
3,3,2,2,3,2,1,1,3,"AT",0.754241585731506
4,3,4,1,1,1,1,1,5,"AT",1.70996487140656
4,4,4,NA,4,2,1,1,3,"AT",0.260225683450699
4,2,3,3,3,3,2,2,4,"AT",1.2258335351944
4,4,4,2,2,2,2,2,3,"AT",0.433729231357574
4,3,4,4,4,5,3,1,3,"AT",0.313579976558685
3,3,2,2,3,3,4,2,5,"AT",0.793991148471832
3,3,1,2,2,3,2,2,5,"AT",1.00560081005096
2,3,2,1,2,2,2,2,4,"AT",1.57326292991638
3,4,3,3,2,1,1,1,3,"AT",1.61001920700073
4,3,2,3,2,3,2,1,2,"AT",0.845696568489075
4,4,3,3,3,2,1,2,5,"AT",0.222764804959297
4,4,3,3,1,2,2,2,2,"AT",0.273818999528885
4,4,4,2,2,4,1,2,5,"AT",0.907509624958038
3,2,4,3,2,1,1,1,4,"AT",0.588732898235321
3,3,2,3,2,3,2,1,4,"AT",0.812534272670746
4,4,4,1,1,5,1,1,4,"AT",0.715644657611847
3,3,2,2,2,1,1,2,2,"AT",0.536528468132019
2,2,2,3,3,1,1,2,2,"AT",1.18050634860992
4,4,2,2,2,2,2,2,4,"AT",1.68258154392242
4,4,4,2,2,4,1,2,3,"AT",0.892682313919067
3,3,3,3,2,2,2,2,4,"AT",0.433729231357574
3,3,2,2,2,2,2,2,2,"AT",0.782014071941376
3,4,4,4,3,1,3,1,4,"AT",0.501164019107819
2,3,2,1,1,3,3,4,3,"AT",0.340872973203659
4,3,3,2,2,2,2,2,4,"AT",2.65893054008484
4,4,2,2,2,1,2,1,5,"AT",2.48313450813293
4,4,3,2,2,2,2,2,4,"AT",1.05028641223907
2,3,2,3,3,2,2,2,4,"AT",1.54193115234375
4,3,1,1,2,2,1,2,4,"AT",0.433729231357574
3,3,3,2,1,NA,2,3,5,"AT",0.720604360103607
3,2,4,4,4,4,2,2,5,"AT",3.75774502754211
3,3,3,3,3,2,3,2,5,"AT",1.10989773273468
3,3,2,2,2,2,2,2,3,"AT",0.900767147541046
2,2,2,1,1,2,3,1,1,"AT",0.159707993268967
2,2,2,2,2,1,2,1,1,"AT",1.14976143836975
4,3,2,2,2,4,2,2,3,"AT",0.602934002876282
4,3,1,2,1,3,2,2,5,"AT",1.80266726016998
4,4,4,4,4,4,1,1,3,"AT",4.00019550323486
4,4,3,2,2,3,3,2,3,"AT",0.807400286197662
3,3,3,4,2,2,2,2,4,"AT",1.19617831707001
4,4,4,1,1,4,1,2,2,"AT",0.551148951053619
4,3,3,3,3,4,1,1,3,"AT",0.441714972257614
4,4,4,4,3,2,2,2,2,"AT",0.444999188184738
3,3,2,2,3,2,1,1,3,"AT",0.230655744671822
3,4,3,3,3,2,2,1,5,"AT",0.436051368713379
3,4,2,1,3,2,1,3,5,"AT",0.959083914756775
3,3,4,1,1,5,2,3,2,"AT",0.401568084955215
4,3,4,2,2,3,3,1,4,"AT",0.899613261222839
4,4,3,3,1,3,2,1,3,"AT",0.908989250659943
3,3,3,2,3,3,1,1,5,"AT",0.332137852907181
2,2,3,1,1,2,3,3,3,"AT",2.75667667388916
3,3,2,1,2,3,2,2,4,"AT",2.34326124191284
3,3,3,3,3,3,1,3,3,"AT",0.351386308670044
4,4,4,3,3,1,1,1,4,"AT",0.309950321912766
3,2,2,3,2,2,2,3,4,"AT",0.55584853887558
4,2,1,1,1,1,2,4,5,"AT",0.758280038833618
2,3,4,3,3,4,1,3,4,"AT",0.486056476831436
3,3,1,1,1,5,1,1,5,"AT",0.230930835008621
4,3,3,2,2,3,1,2,5,"AT",0.193241715431213
3,2,3,4,4,4,2,1,5,"AT",0.431829899549484
3,3,4,3,3,4,1,2,3,"AT",0.751589059829712
3,2,2,3,2,2,2,2,3,"AT",0.451834976673126
4,4,3,3,3,3,1,1,NA,"AT",0.222764804959297
3,3,2,3,2,2,2,2,4,"AT",0.780741989612579
3,3,4,3,4,3,3,2,5,"AT",0.927738070487976
2,2,3,3,1,2,1,2,5,"AT",1.06826388835907
4,2,3,3,1,3,2,2,5,"AT",0.751589059829712
3,3,3,3,2,4,3,NA,5,"AT",0.904898822307587
3,3,1,3,3,3,2,2,4,"AT",0.527856111526489
4,4,2,3,2,2,2,2,5,"AT",0.500787258148193
4,4,2,2,1,1,1,2,5,"AT",0.652598321437836
4,3,2,4,3,3,2,2,4,"AT",2.40364646911621
3,3,4,3,3,3,2,2,4,"AT",0.761649131774902
4,4,4,2,2,1,2,1,5,"AT",0.893915176391602
3,3,4,3,3,4,2,2,3,"AT",0.739931583404541
4,4,2,2,2,2,2,1,3,"AT",0.896779239177704
3,3,3,3,2,2,1,1,2,"AT",0.222764804959297
3,3,3,4,4,2,3,1,5,"AT",0.249247536063194
2,4,4,3,3,4,1,1,5,"AT",1.20572829246521
2,2,3,3,3,3,2,2,5,"AT",0.858589351177216
3,3,3,3,3,4,2,4,3,"AT",1.14364683628082
4,4,2,2,2,2,3,2,4,"AT",0.72161340713501
3,4,2,4,1,2,3,3,4,"AT",1.86710906028748
4,4,2,2,2,NA,2,2,2,"AT",0.193655833601952
2,3,4,4,4,5,1,1,5,"AT",3.36764717102051
4,3,4,1,1,4,2,1,2,"AT",0.403808981180191
2,2,1,1,2,2,2,2,3,"AT",1.17766976356506
3,3,4,4,3,5,1,1,5,"AT",0.342202246189117
4,4,4,1,1,2,2,2,2,"AT",0.46363627910614
4,4,4,3,2,2,2,2,5,"AT",1.60125851631165
4,2,2,3,NA,2,2,2,2,"AT",1.6224719285965
4,3,2,2,2,2,2,1,5,"AT",0.621045887470245
3,3,1,2,2,2,1,1,3,"AT",0.649011790752411
4,4,3,3,1,5,1,2,1,"AT",0.598527491092682
4,4,4,NA,2,2,1,3,3,"AT",0.576613545417786
4,4,2,3,2,4,2,3,3,"AT",0.710375726222992
4,4,3,3,2,1,2,1,4,"AT",0.332326948642731
3,3,2,3,2,2,2,2,4,"AT",0.241978943347931
2,2,3,4,4,1,3,1,2,"AT",0.254984050989151
3,3,2,3,2,3,3,1,5,"AT",0.576607644557953
1,1,2,2,2,1,1,1,5,"AT",0.19967195391655
3,3,4,3,2,2,1,2,5,"AT",0.424950063228607
3,4,4,2,2,5,2,1,5,"AT",3.53800392150879
3,3,3,3,2,2,1,4,2,"AT",0.185282826423645
3,3,3,2,2,2,1,1,2,"AT",2.26866459846497
4,4,2,2,2,3,1,1,3,"AT",0.249247536063194
2,2,3,2,3,2,NA,2,2,"AT",0.900767147541046
NA,NA,NA,NA,NA,3,3,3,3,"AT",0.625873267650604
3,3,3,2,2,2,2,2,2,"AT",1.50380659103394
4,4,3,NA,3,1,1,1,4,"AT",0.94214391708374
4,2,4,2,2,3,1,1,4,"AT",0.625873267650604
4,4,4,NA,2,2,1,2,2,"AT",0.44839271903038
3,3,3,2,2,2,1,2,5,"AT",0.556218385696411
3,4,2,2,2,2,1,2,5,"AT",0.84257036447525
4,4,4,3,1,5,2,1,2,"AT",0.456881046295166
4,4,3,4,1,2,2,1,1,"AT",0.990280032157898
3,3,3,2,2,4,1,2,3,"AT",0.520116865634918
4,4,4,4,4,2,1,1,3,"AT",0.87496030330658
3,3,2,3,3,3,2,3,4,"AT",0.840939223766327
4,4,4,NA,2,2,2,2,2,"AT",0.434482425451279
3,4,3,3,2,2,1,2,5,"AT",1.38338732719421
4,2,4,4,3,1,4,1,4,"AT",1.74702501296997
4,4,4,3,3,2,1,2,3,"AT",1.75998818874359
4,4,4,1,1,1,2,3,2,"AT",0.736698627471924
3,4,2,3,NA,1,NA,1,4,"AT",0.42873626947403
4,4,3,3,3,2,1,2,4,"AT",0.163256004452705
3,3,2,2,2,1,2,2,2,"AT",1.02788400650024
3,3,2,2,2,4,2,1,5,"AT",0.550492584705353
3,3,3,3,3,2,1,2,3,"AT",2.6912579536438
4,4,4,2,2,5,2,4,2,"AT",0.222764804959297
3,3,4,2,2,3,1,1,4,"AT",0.616787254810333
3,3,2,2,2,3,2,2,3,"AT",0.497901737689972
4,4,3,3,3,5,1,1,2,"AT",0.312936633825302
3,3,3,2,1,2,2,2,3,"AT",1.67753672599792
4,4,3,3,1,2,2,1,3,"AT",0.392399668693542
4,3,3,NA,NA,3,3,3,3,"AT",0.348149240016937
4,3,3,2,2,2,1,1,5,"AT",0.173667177557945
2,2,3,3,1,2,2,2,5,"AT",0.661638677120209
3,3,3,2,1,5,2,4,3,"AT",0.539635837078094
3,3,4,4,1,2,1,1,3,"AT",1.31524968147278
2,2,3,3,2,1,1,1,3,"AT",0.803710341453552
3,3,2,3,2,2,2,3,3,"AT",1.86030447483063
3,4,4,3,3,1,4,1,5,"AT",0.847047805786133
2,4,3,2,2,3,2,3,2,"AT",0.413755416870117
4,4,2,3,2,4,1,2,1,"AT",0.397636026144028
3,4,3,2,2,3,1,1,5,"AT",1.53565764427185
3,3,2,2,2,2,2,2,2,"AT",0.47322878241539
4,4,4,3,4,2,2,2,4,"AT",0.510255515575409
4,4,4,3,2,3,1,1,3,"AT",0.534534275531769
4,4,2,2,2,2,2,2,4,"AT",4.00019550323486
4,4,2,3,3,2,2,1,4,"AT",0.848424136638641
3,3,2,2,2,2,2,3,4,"AT",3.99969601631165
4,4,3,3,2,3,2,4,4,"AT",0.382865160703659
3,2,2,NA,1,3,1,3,3,"AT",0.435821264982224
2,2,2,3,3,2,2,2,5,"AT",2.34326124191284
3,3,1,1,2,2,1,2,4,"AT",0.449179321527481
3,3,3,3,2,2,2,2,3,"AT",0.865956366062164
4,2,2,4,1,5,1,2,3,"AT",0.166273444890976
2,1,4,4,4,1,3,1,5,"AT",0.531528353691101
4,4,3,3,2,NA,NA,NA,NA,"AT",0.576133787631989
4,4,3,2,3,2,2,1,5,"AT",2.28738689422607
4,4,4,4,4,1,1,1,1,"AT",0.876832902431488
4,3,2,2,2,4,1,1,5,"AT",0.206616431474686
3,4,3,3,3,1,1,2,2,"AT",2.87440514564514
3,NA,NA,2,2,3,2,3,5,"AT",1.17911267280579
3,3,3,3,2,4,1,2,4,"AT",0.363460570573807
3,3,3,2,2,4,1,3,2,"AT",0.165797382593155
2,3,4,2,3,2,1,1,4,"AT",0.899613261222839
3,3,4,1,3,3,2,4,3,"AT",0.898358643054962
2,3,2,2,2,2,1,1,4,"AT",0.266361147165298
4,4,3,3,2,4,2,1,5,"AT",0.874396204948425
4,2,3,2,3,3,2,3,4,"AT",2.88190340995789
3,3,3,3,2,1,2,2,2,"AT",3.99396300315857
3,2,NA,3,3,2,2,1,4,"AT",0.482805848121643
4,4,4,1,1,5,1,2,1,"AT",0.223969265818596
4,4,NA,2,1,4,1,2,4,"AT",0.294977575540543
4,4,2,1,2,3,2,1,5,"AT",1.19617831707001
3,4,2,3,2,2,2,2,4,"AT",0.698693633079529
1,2,4,2,2,5,3,1,5,"AT",1.03043937683105
3,4,1,1,1,2,3,3,3,"AT",0.37056565284729
3,3,1,2,4,3,1,2,5,"AT",0.417116433382034
4,4,2,NA,2,4,1,1,5,"AT",3.99965929985046
3,2,4,4,2,5,1,2,5,"AT",0.824750006198883
4,4,4,4,4,3,3,1,1,"AT",0.984695971012115
2,3,3,3,3,4,2,2,4,"AT",0.249247536063194
4,4,3,2,2,2,1,2,5,"AT",0.720604360103607
3,2,4,3,1,2,4,3,1,"AT",0.159707993268967
3,4,2,1,1,2,1,1,2,"AT",1.32189643383026
4,2,1,1,1,2,1,3,5,"AT",0.475762575864792
4,4,2,2,3,2,1,3,4,"AT",0.797038555145264
4,4,2,2,1,2,2,4,5,"AT",0.562992334365845
2,3,4,1,1,4,2,2,2,"AT",0.648148596286774
3,3,1,2,2,2,2,3,2,"AT",0.889369070529938
4,4,3,2,2,2,2,1,2,"AT",0.109123095870018
4,4,4,2,3,5,2,3,4,"AT",0.18364217877388
4,4,3,2,2,2,2,2,3,"AT",1.38906753063202
3,4,4,1,3,2,2,3,2,"AT",0.201904490590096
3,4,2,NA,2,2,2,2,4,"AT",1.49804306030273
3,3,1,2,1,2,2,2,1,"AT",0.656163096427917
3,2,4,2,2,5,1,2,3,"AT",0.452213436365128
4,2,4,4,4,2,1,2,4,"AT",1.5938241481781
2,3,4,2,2,2,1,2,2,"AT",0.645610213279724
2,2,3,3,3,4,1,2,3,"AT",1.42835354804993
4,4,4,3,2,2,2,2,5,"AT",0.737252056598663
3,3,3,2,2,4,1,2,5,"AT",2.18908405303955
2,1,1,3,3,2,2,2,1,"AT",0.225218415260315
2,2,1,2,2,2,3,1,3,"AT",0.422848284244537
4,3,3,1,1,5,1,4,3,"AT",0.269817918539047
3,3,1,1,1,2,1,2,2,"AT",0.460738152265549
3,2,2,2,3,2,2,3,4,"AT",1.72036337852478
4,3,3,2,2,2,2,2,5,"AT",0.208569034934044
3,3,2,3,2,2,1,3,4,"AT",3.29173588752747
3,3,2,2,2,3,2,2,3,"AT",0.680216431617737
4,4,3,3,2,2,2,1,4,"AT",0.371007323265076
3,3,3,3,2,4,1,1,4,"AT",0.224018886685371
3,4,2,1,1,2,1,1,5,"AT",0.412437349557877
2,2,4,2,1,3,1,1,5,"AT",0.517010867595673
3,3,2,3,2,2,2,3,3,"AT",0.835212469100952
4,4,1,3,3,2,1,2,4,"AT",0.951525151729584
4,4,1,1,1,2,2,2,3,"AT",0.518754124641418
4,3,2,2,2,NA,2,2,NA,"AT",1.83401727676392
3,3,3,1,2,5,1,1,5,"AT",1.45938968658447
3,3,2,2,2,2,1,2,2,"AT",0.428960055112839
4,3,3,3,2,2,1,2,5,"AT",1.84686458110809
4,4,2,NA,2,2,1,2,2,"AT",0.511309266090393
2,1,2,2,3,2,2,4,5,"AT",1.39360618591309
3,3,3,2,2,5,1,1,2,"AT",1.64950001239777
3,3,2,2,2,2,1,2,2,"AT",0.857920110225677
2,2,3,2,2,4,2,2,4,"AT",0.747742712497711
4,3,3,2,2,3,2,2,4,"AT",1.22180151939392
1,1,1,1,2,5,2,1,3,"AT",0.66288036108017
3,3,1,2,2,2,2,2,2,"AT",0.462800681591034
3,4,3,4,2,NA,2,3,NA,"AT",0.99196994304657
4,4,4,3,3,2,1,1,4,"AT",0.411548465490341
3,4,2,2,2,2,2,2,2,"AT",0.759577512741089
3,3,3,2,2,1,2,3,4,"AT",2.49519014358521
4,4,4,4,4,5,1,1,5,"AT",1.98154878616333
3,3,2,2,2,3,2,2,3,"AT",0.479955673217773
3,2,3,3,3,2,1,2,3,"AT",1.74702501296997
3,3,2,2,2,2,1,1,2,"AT",1.06678450107574
3,4,2,2,3,4,5,1,3,"AT",0.433729231357574
3,3,3,4,4,3,2,1,4,"AT",0.883429944515228
4,4,2,1,1,3,2,1,3,"AT",0.354310780763626
4,3,4,3,3,3,2,2,3,"AT",0.556511163711548
4,4,1,2,2,3,2,3,3,"AT",0.192044585943222
3,3,2,2,1,2,4,1,5,"AT",0.505862057209015
3,4,3,2,2,1,1,2,5,"AT",0.433729231357574
4,4,4,3,3,2,3,1,5,"AT",0.630419254302979
3,4,3,3,3,2,1,2,2,"AT",0.169240489602089
3,3,4,2,2,3,1,4,3,"AT",1.53128123283386
2,2,3,3,3,1,3,1,5,"AT",1.56672632694244
3,3,3,2,3,4,2,2,4,"AT",0.413982838392258
1,2,3,1,2,2,3,2,1,"AT",0.932445466518402
4,4,4,3,3,5,1,3,3,"AT",3.94586491584778
3,3,2,2,2,3,2,3,2,"AT",0.837905526161194
4,3,3,2,2,3,1,2,4,"AT",0.360187977552414
4,3,3,1,1,1,1,3,4,"AT",0.275246292352676
1,1,4,4,2,3,1,1,5,"AT",0.534534275531769
3,4,2,3,2,5,2,2,5,"AT",0.676644921302795
3,3,3,2,2,3,1,1,4,"AT",0.555192291736603
3,3,2,2,2,2,2,2,4,"AT",0.772195160388947
4,4,4,1,3,1,2,2,1,"AT",0.414895087480545
4,4,1,1,1,2,1,5,4,"AT",1.41562187671661
4,4,3,3,2,2,2,1,5,"AT",0.621610939502716
3,2,2,NA,1,2,2,2,4,"AT",1.8073399066925
2,4,4,1,3,3,2,3,3,"AT",0.169240489602089
3,3,2,2,2,1,2,2,2,"AT",0.680216431617737
4,4,2,2,1,2,1,3,5,"AT",0.360446661710739
4,4,4,3,2,3,2,2,3,"AT",0.999649941921234
4,3,2,3,3,3,1,1,5,"AT",0.577886819839478
3,4,4,2,2,4,2,3,2,"AT",0.74041748046875
3,3,2,2,1,2,2,3,2,"AT",3.37093377113342
4,3,3,1,2,2,2,2,4,"AT",0.802318572998047
2,3,3,4,3,4,2,2,5,"AT",0.434142351150513
3,3,3,3,2,2,2,2,4,"AT",1.5162992477417
2,3,4,3,2,1,1,1,1,"AT",1.67182207107544
4,4,4,3,3,5,1,2,5,"AT",0.243274614214897
1,1,2,2,1,4,1,2,4,"AT",0.429324179887772
4,4,2,4,2,2,2,1,3,"AT",0.480863183736801
3,3,3,2,2,3,2,3,5,"AT",1.47704458236694
4,4,2,NA,2,5,1,1,4,"AT",1.24322187900543
4,4,4,4,3,1,1,1,5,"AT",1.84559464454651
